"filename", "language", "C#", "JSON", "UnityShader", "comment", "blank", "total"
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\Player\PlayerUpgrades\Reminiscence.cs", "C#", 19, 0, 0, 0, 3, 22
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\Player\PlayerUpgrades\SoulRendPU.cs", "C#", 47, 0, 0, 0, 5, 52
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\Player\PlayerUpgrades\SpawnProjectile.cs", "C#", 18, 0, 0, 0, 1, 19
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\Player\PlayerUpgrades\StellarSurge.cs", "C#", 11, 0, 0, 0, 2, 13
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\Player\TooltipTrigger.cs", "C#", 158, 0, 0, 0, 22, 180
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\Player\TooltipUI.cs", "C#", 35, 0, 0, 0, 9, 44
"c:\Users\Joe\Anamnesis\Assets\scripts\Items\Gear.cs", "C#", 34, 0, 0, 0, 4, 38
"c:\Users\Joe\Anamnesis\Assets\scripts\Items\Item.cs", "C#", 9, 0, 0, 0, 2, 11
"c:\Users\Joe\Anamnesis\Assets\scripts\Misc\GameController.cs", "C#", 116, 0, 0, 0, 19, 135
"c:\Users\Joe\Anamnesis\Assets\scripts\Projectile\AttackData.cs", "C#", 128, 0, 0, 0, 16, 144
"c:\Users\Joe\Anamnesis\Assets\scripts\Projectile\DamageCalculator.cs", "C#", 122, 0, 0, 0, 13, 135
"c:\Users\Joe\Anamnesis\Assets\scripts\Projectile\DamagePacket.cs", "C#", 34, 0, 0, 0, 7, 41
"c:\Users\Joe\Anamnesis\Assets\scripts\Projectile\Projectile.cs", "C#", 371, 0, 0, 0, 71, 442
"c:\Users\Joe\Anamnesis\Assets\scripts\Projectile\ProjectileData.cs", "C#", 61, 0, 0, 0, 9, 70
"c:\Users\Joe\Anamnesis\Assets\scripts\Projectile\ProjectileSpawner.cs", "C#", 144, 0, 0, 0, 31, 175
"c:\Users\Joe\Anamnesis\Assets\scripts\SkillTree\PlayerSkillTree.cs", "C#", 155, 0, 0, 0, 34, 189
"c:\Users\Joe\Anamnesis\Assets\scripts\SkillTree\SkillNodeDef.cs", "C#", 21, 0, 0, 0, 3, 24
"c:\Users\Joe\Anamnesis\Assets\scripts\SkillTree\SkillNodeUI.cs", "C#", 54, 0, 0, 0, 12, 66
"c:\Users\Joe\Anamnesis\Assets\scripts\SkillTree\SkillTreeDefinition.cs", "C#", 7, 0, 0, 0, 1, 8
"c:\Users\Joe\Anamnesis\Assets\scripts\SkillTree\SkillTreeLineRenderer.cs", "C#", 104, 0, 0, 0, 23, 127
"c:\Users\Joe\Anamnesis\Assets\scripts\SkillTree\SkillTreeManager.cs", "C#", 25, 0, 0, 0, 9, 34
"c:\Users\Joe\Anamnesis\Assets\scripts\SkillTree\SkillTreePanZoom.cs", "C#", 128, 0, 0, 0, 26, 154
"c:\Users\Joe\Anamnesis\Assets\scripts\SkillTree\SkillTreeUI.cs", "C#", 86, 0, 0, 0, 20, 106
"c:\Users\Joe\Anamnesis\Assets\scripts\StatusEffect\StatusEffect.cs", "C#", 24, 0, 0, 0, 5, 29
"c:\Users\Joe\Anamnesis\Assets\scripts\StatusEffect\StatusEffectCooldownUI.cs", "C#", 42, 0, 0, 0, 11, 53
"c:\Users\Joe\Anamnesis\Assets\scripts\StatusEffect\StatusEffectManager.cs", "C#", 158, 0, 0, 0, 19, 177
"c:\Users\Joe\Anamnesis\Assets\scripts\StatusEffect\StatusEffects\AttackReplacement\AttackReplacement.cs", "C#", 33, 0, 0, 0, 9, 42
"c:\Users\Joe\Anamnesis\Assets\scripts\StatusEffect\StatusEffects\Deprecated\ArmorReduction\ArmorReduction.cs", "C#", 30, 0, 0, 0, 6, 36
"c:\Users\Joe\Anamnesis\Assets\scripts\StatusEffect\StatusEffects\Deprecated\Slow\Slow.cs", "C#", 30, 0, 0, 0, 6, 36
"c:\Users\Joe\Anamnesis\Assets\scripts\StatusEffect\StatusEffects\Deprecated\Weaken\Weaken.cs", "C#", 33, 0, 0, 0, 6, 39
"c:\Users\Joe\Anamnesis\Assets\scripts\StatusEffect\StatusEffects\DoTs\Detonator.cs", "C#", 29, 0, 0, 0, 4, 33
"c:\Users\Joe\Anamnesis\Assets\scripts\StatusEffect\StatusEffects\DoTs\DoT.cs", "C#", 18, 0, 0, 0, 5, 23
"c:\Users\Joe\Anamnesis\Assets\scripts\StatusEffect\StatusEffects\Info\Info.cs", "C#", 5, 0, 0, 0, 2, 7
"c:\Users\Joe\Anamnesis\Assets\scripts\StatusEffect\StatusEffects\Pulled\Pulled.cs", "C#", 50, 0, 0, 0, 13, 63
"c:\Users\Joe\Anamnesis\Assets\scripts\StatusEffect\StatusEffects\SoulRend\SoulRend.cs", "C#", 134, 0, 0, 0, 12, 146
"c:\Users\Joe\Anamnesis\Assets\scripts\StatusEffect\StatusEffects\StatBuff\StatBuffs.cs", "C#", 34, 0, 0, 0, 3, 37
"c:\Users\Joe\Anamnesis\Assets\scripts\StatusEffect\StatusEffects\StatReduction.cs\StatReduction.cs", "C#", 37, 0, 0, 0, 6, 43
"c:\Users\Joe\Anamnesis\Assets\scripts\StatusEffect\StatusEffects\Stun\Stun.cs", "C#", 23, 0, 0, 0, 1, 24
"c:\Users\Joe\Anamnesis\Assets\scripts\Wave\AnamolyInstance.cs", "C#", 35, 0, 0, 0, 5, 40
"c:\Users\Joe\Anamnesis\Assets\scripts\Wave\Anamoly\AnomalyData.cs", "C#", 24, 0, 0, 0, 3, 27
"c:\Users\Joe\Anamnesis\Assets\scripts\Wave\Anamoly\NoDamageTrialInstance.cs", "C#", 19, 0, 0, 0, 4, 23
"c:\Users\Joe\Anamnesis\Assets\scripts\Wave\Anamoly\StatModifierInstance.cs", "C#", 39, 0, 0, 0, 9, 48
"c:\Users\Joe\Anamnesis\Assets\scripts\Wave\Anamoly\TimeTrialInstance.cs", "C#", 24, 0, 0, 0, 5, 29
"c:\Users\Joe\Anamnesis\Assets\scripts\Wave\AnomalyButtonUI.cs", "C#", 29, 0, 0, 0, 8, 37
"c:\Users\Joe\Anamnesis\Assets\scripts\Wave\RewardButton.cs", "C#", 100, 0, 0, 0, 22, 122
"c:\Users\Joe\Anamnesis\Assets\scripts\Wave\WaveManager.cs", "C#", 616, 0, 0, 0, 109, 725
"c:\Users\Joe\Anamnesis\Assets\scripts\Wave\WaveQuality.cs", "C#", 31, 0, 0, 0, 6, 37
"c:\Users\Joe\Anamnesis\Assets\scripts\Wave\WaveReward.cs", "C#", 42, 0, 0, 0, 6, 48
"c:\Users\Joe\Anamnesis\Assets\scripts\Wave\WaveSequence.cs", "C#", 25, 0, 0, 0, 2, 27
"Total", "-", 9488, 2, 2860, 1182, 2993, 16525
